id,nombre,descripcion,grupo,geomt,color,categoria,imagen,descripcion_upper,nombre_upper,num_articulo
69,Estacionamiento prohibido los días impares ,La prohibición de estacionar se aplica solo los días impares en el lado de la vía en que está situada la señal.,3,3,2,1,estacionamiento_prohibido_los_dias_impares.png,LA PROHIBICION DE ESTACIONAR SE APLICA SOLO LOS DIAS IMPARES EN EL LADO DE LA VIA EN QUE ESTA SITUADA LA SENAL.,ESTACIONAMIENTO PROHIBIDO LOS DIAS IMPARES ,164
70,Circulación  prohibida a  los  vehículos  destinados  a transporte de carga que sobrepasan un peso máximo autorizado de 3 500 kilogramos,"Circulación  prohibida a  los  vehículos  destinados  a transporte de carga que sobrepasan un peso máximo autorizado de 3 500 kilogramos.
",3,3,2,1,circulacion_prohibida_a_los_vehiculos_destinados_a_transporte_de_carga_que_sobrepasan.png,"CIRCULACION  PROHIBIDA A  LOS  VEHICULOS  DESTINADOS  A TRANSPORTE DE CARGA QUE SOBREPASAN UN PESO MAXIMO AUTORIZADO DE 3 500 KILOGRAMOS.
",CIRCULACION  PROHIBIDA A  LOS  VEHICULOS  DESTINADOS  A TRANSPORTE DE CARGA QUE SOBREPASAN UN PESO MAXIMO AUTORIZADO DE 3 500 KILOGRAMOS,164
71,Circulación prohibida a todo vehiculo agrícola,"Circulación prohibida a todos los vehículos agrícolas de motor.
",3,3,2,1,circulacion_prohibida_a_todo_vehiculo_agricola_de_motor.png,"CIRCULACION PROHIBIDA A TODOS LOS VEHICULOS AGRICOLAS DE MOTOR.
",CIRCULACION PROHIBIDA A TODO VEHICULO AGRICOLA,164
72,Circulación prohibida a todo vehiculo con remolque,"Circulación prohibida a todo vehículo de motor con remolque que no sea un semirremolque o un remolque de un solo eje.
",3,3,2,1,circulacion_prohibida_a_todo_vehiculo_con_remolque.png,"CIRCULACION PROHIBIDA A TODO VEHICULO DE MOTOR CON REMOLQUE QUE NO SEA UN SEMIRREMOLQUE O UN REMOLQUE DE UN SOLO EJE.
",CIRCULACION PROHIBIDA A TODO VEHICULO CON REMOLQUE,164
74,Circulación prohibida a los ciclos,Circulación prohibida a los ciclos.,3,3,2,1,circulacion_prohibida_a_los_ciclos.png,CIRCULACION PROHIBIDA A LOS CICLOS.,CIRCULACION PROHIBIDA A LOS CICLOS,164
75,Prohibido el uso de señales acústicas,"Prohíbe la utilización de señales acústicas, salvo para evitar un accidente.",3,3,2,1,prohibido_el_uso_de_senales_acusticas.png,"PROHIBE LA UTILIZACION DE SENALES ACUSTICAS, SALVO PARA EVITAR UN ACCIDENTE.",PROHIBIDO EL USO DE SENALES ACUSTICAS,164
76,Circulación prohibida a peatones,Circulación prohibida a los peatones.,3,3,2,1,circulacion_prohibida_a_los_peatones.png,CIRCULACION PROHIBIDA A LOS PEATONES.,CIRCULACION PROHIBIDA A PEATONES,164
77,Circulación prohibida,"Prohibición de circular por la vía a todos los vehículos.
",3,3,2,1,circulacion_prohibida.png,"PROHIBICION DE CIRCULAR POR LA VIA A TODOS LOS VEHICULOS.
",CIRCULACION PROHIBIDA,164
78,Circulación prohibida a los vehículos de un peso superior al que indica la señal para cada eje,"Circulación prohibida a los vehículos de un peso superior al que indica la señal para cada eje.
",3,3,2,1,circulacion_prohibida_a_los_vehiculos_de_un_peso_superior_al_que_indica_la_senal.png,"CIRCULACION PROHIBIDA A LOS VEHICULOS DE UN PESO SUPERIOR AL QUE INDICA LA SENAL PARA CADA EJE.
",CIRCULACION PROHIBIDA A LOS VEHICULOS DE UN PESO SUPERIOR AL QUE INDICA LA SENAL PARA CADA EJE,164
79,Circulación prohibida a carros de mano,Circulación prohibida a los carros de mano.,3,3,2,1,circulacion_prohibida_a_los_carros_de_manos.png,CIRCULACION PROHIBIDA A LOS CARROS DE MANO.,CIRCULACION PROHIBIDA A CARROS DE MANO,164
80,Zona de estacionamiento regulada,Zona de estacionamiento regulada,3,2,2,1,zona_de_estacionamiento_regulada.png,ZONA DE ESTACIONAMIENTO REGULADA,ZONA DE ESTACIONAMIENTO REGULADA,164
